GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
SchoolTimetable,org.domain.models.validators.session,SessionValidator,1,25,2,4,0,6,2,4,0,3
SchoolTimetable,org.dataaccess.studentgroup,StudentGroupRepository,0,63,0,2,0,19,0,4,0,3
SchoolTimetable,org.domain.models,Teacher,6,68,0,0,2,24,2,12,2,12
SchoolTimetable,org.domain.models,Session.Type,0,21,0,0,0,2,0,1,0,1
SchoolTimetable,org.domain.models,Teacher.Type,0,15,0,0,0,2,0,1,0,1
SchoolTimetable,org.domain.models,Discipline,10,81,0,0,4,26,3,13,3,13
SchoolTimetable,org.domain.models,Session,10,88,0,0,4,29,3,15,3,15
SchoolTimetable,org.domain.models,StudentGroup.Type,0,15,0,0,0,2,0,1,0,1
SchoolTimetable,org.domain.models,Student,6,73,0,0,2,28,2,14,2,14
SchoolTimetable,org.domain.models,Timeslot,10,63,0,0,4,27,3,18,3,18
SchoolTimetable,org.domain.models,StudentGroup,6,83,0,0,2,29,2,14,2,14
SchoolTimetable,org.domain.models,Room.Type,0,15,0,0,0,2,0,1,0,1
SchoolTimetable,org.domain.models,Timeslot.Periodicity,0,21,0,0,0,2,0,1,0,1
SchoolTimetable,org.domain.models,Room,9,68,0,0,3,27,3,13,3,13
SchoolTimetable,org.domain.models,Timeslot.Day,0,45,0,0,0,2,0,1,0,1
SchoolTimetable,org.dataaccess.student,StudentRepository,36,68,3,3,12,24,3,4,0,4
SchoolTimetable,org.application.studentgroups,StudentGroupsService,29,168,2,8,11,34,2,15,0,12
SchoolTimetable,org.domain.exceptions,RepositoryOperationException,0,9,0,0,0,4,0,2,0,2
SchoolTimetable,org.domain.models.validators.student,StudentValidator,2,49,2,4,1,12,2,4,0,3
SchoolTimetable,org.dataaccess.database,TestsDatabaseHibernateProvider,4,21,2,2,1,5,2,3,0,3
SchoolTimetable,org.dataaccess.database,MainDatabaseHibernateProvider,25,0,4,0,6,0,5,0,3,0
SchoolTimetable,org.application.students,StudentsService,99,312,5,15,22,65,7,19,3,13
SchoolTimetable,org.dataaccess.discipline,DisciplineRepository,9,52,0,2,3,16,0,4,0,3
SchoolTimetable,org.domain.exceptions.Timeslot,TimeslotDeletionFailed,9,0,0,0,4,0,2,0,2,0
SchoolTimetable,org.domain.exceptions.Timeslot,TimeslotAdditionException,4,5,0,0,2,2,1,1,1,1
SchoolTimetable,org.domain.exceptions.Timeslot,TimeslotNotFoundException,9,0,0,0,4,0,2,0,2,0
SchoolTimetable,org.dataaccess.timeslot,TimeslotRepository,0,52,0,0,0,18,0,2,0,2
SchoolTimetable,org.dataaccess.teacher,TeacherRepository,9,52,0,2,3,16,0,4,0,3
SchoolTimetable,org.domain.exceptions.studentgroup,StudentGroupNotFoundException,5,4,0,0,2,2,1,1,1,1
SchoolTimetable,org.domain.exceptions.studentgroup,StudentGroupReassignException,9,0,0,0,4,0,2,0,2,0
SchoolTimetable,org.domain.exceptions.studentgroup,StudentGroupAdditionException,4,5,0,0,2,2,1,1,1,1
SchoolTimetable,org.domain.exceptions.studentgroup,StudentGroupDeletionFailed,4,5,0,0,2,2,1,1,1,1
SchoolTimetable,org.domain.exceptions.teacher,TeacherDeletionFailed,4,5,0,0,2,2,1,1,1,1
SchoolTimetable,org.domain.exceptions.teacher,TeacherAdditionException,4,5,0,0,2,2,1,1,1,1
SchoolTimetable,org.domain.exceptions.teacher,TeacherNotFoundException,5,4,0,0,2,2,1,1,1,1
SchoolTimetable,org.application.timeslots,TimeslotsService,186,140,12,2,31,38,12,12,5,12
SchoolTimetable,org.domain.exceptions.session,SessionDeletionFailed,4,5,0,0,2,2,1,1,1,1
SchoolTimetable,org.domain.exceptions.session,SessionAdditionException,4,5,0,0,2,2,1,1,1,1
SchoolTimetable,org.domain.exceptions.session,SessionNotFoundException,5,4,0,0,2,2,1,1,1,1
SchoolTimetable,org.presentation.swing,TimeslotSettings.new ActionListener() {...},106,0,2,0,17,0,4,0,3,0
SchoolTimetable,org.presentation.swing,TimeslotSettings.new ActionListener() {...},49,0,2,0,12,0,3,0,2,0
SchoolTimetable,org.presentation.swing,TimeslotSettings.new ActionListener() {...},61,0,0,0,11,0,2,0,2,0
SchoolTimetable,org.presentation.swing,SessionSettings,921,0,12,0,173,0,14,0,8,0
SchoolTimetable,org.presentation.swing,RoomSettings,569,0,2,0,104,0,8,0,7,0
SchoolTimetable,org.presentation.swing,RoomSettings.new ActionListener() {...},32,0,0,0,9,0,2,0,2,0
SchoolTimetable,org.presentation.swing,RoomSettings.new ActionListener() {...},67,0,2,0,13,0,4,0,3,0
SchoolTimetable,org.presentation.swing,TeacherSettings.new ActionListener() {...},32,0,0,0,9,0,2,0,2,0
SchoolTimetable,org.presentation.swing,TeacherSettings.new ActionListener() {...},41,0,0,0,10,0,2,0,2,0
SchoolTimetable,org.presentation.swing,TeacherSettings,449,0,2,0,88,0,8,0,7,0
SchoolTimetable,org.presentation.swing,DisciplineSettings.new ActionListener() {...},58,0,4,0,12,0,5,0,3,0
SchoolTimetable,org.presentation.swing,DisciplineSettings.new ActionListener() {...},32,0,0,0,9,0,2,0,2,0
SchoolTimetable,org.presentation.swing,DisciplineSettings,652,0,6,0,125,0,11,0,8,0
SchoolTimetable,org.presentation.swing,DisciplineSettings.new ActionListener() {...},39,0,0,0,9,0,2,0,2,0
SchoolTimetable,org.presentation.swing,StudentSettings.new ActionListener() {...},44,0,0,0,13,0,2,0,2,0
SchoolTimetable,org.presentation.swing,StudentSettings.new ActionListener() {...},64,0,2,0,12,0,4,0,3,0
SchoolTimetable,org.presentation.swing,TimeslotSettings,967,0,8,0,189,0,13,0,9,0
SchoolTimetable,org.presentation.swing,StudentSettings,556,0,0,0,99,0,7,0,7,0
SchoolTimetable,org.presentation.swing,SessionSettings.new ActionListener() {...},32,0,0,0,9,0,2,0,2,0
SchoolTimetable,org.presentation.swing,SessionSettings.new ActionListener() {...},47,0,0,0,11,0,2,0,2,0
SchoolTimetable,org.presentation.swing,SessionSettings.new ActionListener() {...},39,0,0,0,9,0,2,0,2,0
SchoolTimetable,org.presentation.swing,SessionSettings.new ActionListener() {...},39,0,0,0,9,0,2,0,2,0
SchoolTimetable,org.domain.exceptions.room,RoomAdditionException,4,5,0,0,2,2,1,1,1,1
SchoolTimetable,org.domain.exceptions.room,RoomDeletionFailed,4,5,0,0,2,2,1,1,1,1
SchoolTimetable,org.domain.exceptions.room,RoomNotFoundException,5,4,0,0,2,2,1,1,1,1
SchoolTimetable,org,Main,17,17,0,0,6,1,2,1,2,1
SchoolTimetable,org,Main.new AbstractModule() {...},7,102,1,1,1,18,1,2,0,2
SchoolTimetable,org,GuiceInjectorSingleton,0,16,0,0,0,5,0,3,0,3
SchoolTimetable,org,Application,1,24,0,0,1,9,1,1,1,1
SchoolTimetable,org,Main.MessageModule,2,4,0,0,1,2,1,2,1,2
SchoolTimetable,org.dataaccess.room,RoomRepository,9,58,0,2,3,18,0,4,0,3
SchoolTimetable,org.application.disciplines,DisciplinesService,44,193,3,7,16,44,3,13,0,11
SchoolTimetable,org.domain.exceptions.student,StudentUpdateException,0,9,0,0,0,4,0,2,0,2
SchoolTimetable,org.domain.exceptions.student,StudentAdditionException,4,5,0,0,2,2,1,1,1,1
SchoolTimetable,org.domain.exceptions.student,StudentNotFoundException,5,4,0,0,2,2,1,1,1,1
SchoolTimetable,org.domain.exceptions.student,StudentDeletionFailed,4,5,0,0,2,2,1,1,1,1
SchoolTimetable,org.application.rooms,RoomsService,34,122,2,4,13,29,2,9,0,8
SchoolTimetable,org.presentation,GUI,465,0,16,0,82,0,13,0,5,0
SchoolTimetable,org.presentation,MainGenerator,0,238,2,6,0,45,2,7,0,5
SchoolTimetable,org.presentation,GUI.new MouseAdapter() {...},22,0,0,0,5,0,3,0,3,0
SchoolTimetable,org.presentation,GUI.new ActionListener() {...},10,0,0,0,3,0,2,0,2,0
SchoolTimetable,org.presentation,TemplateUtils,18,63,0,0,6,20,0,5,0,5
SchoolTimetable,org.domain.models.validators.studentgroup,StudentGroupValidator,88,43,20,4,20,11,12,3,0,3
SchoolTimetable,org.domain.models.validators.timeslot,TimeslotValidator,26,190,18,28,13,42,18,9,0,4
SchoolTimetable,org.domain.exceptions.discipline,DisciplineAdditionException,4,5,0,0,2,2,1,1,1,1
SchoolTimetable,org.domain.exceptions.discipline,DisciplineNotFoundException,5,4,0,0,2,2,1,1,1,1
SchoolTimetable,org.domain.exceptions.discipline,DisciplineDeletionFailed,4,5,0,0,2,2,1,1,1,1
SchoolTimetable,org.domain.models.validators.teacher,TeacherValidator,121,67,30,6,28,16,18,3,0,3
SchoolTimetable,org.application.teachers,TeachersService,34,120,2,4,13,29,2,9,0,8
SchoolTimetable,org.dataaccess.session,SessionRepository,9,25,0,0,3,9,0,2,0,2
SchoolTimetable,org.application.sessions,SessionsService,189,352,18,12,50,72,16,20,1,20
SchoolTimetable,org.presentation.generators,TeachersGenerator,7,106,3,3,1,22,2,3,0,2
SchoolTimetable,org.presentation.generators,FreeRoomsGenerator,0,197,0,12,0,43,0,9,0,3
SchoolTimetable,org.presentation.generators,HomeGenerator,0,36,0,0,0,9,0,2,0,2
SchoolTimetable,org.presentation.generators,RoomsGenerator,8,121,3,3,2,26,2,3,0,2
SchoolTimetable,org.presentation.generators,StudentsGenerator,0,272,0,10,0,55,0,7,0,2
SchoolTimetable,org.presentation.generators,TimetablesGenerator,11,611,5,25,4,120,4,21,0,10
SchoolTimetable,org.presentation.generators,DisciplinesGenerator,0,225,4,16,0,37,4,8,0,2
SchoolTimetable,org.presentation.generators,BaseGenerator,0,56,0,2,0,14,0,3,0,2
SchoolTimetable,org.dataaccess.repository,BaseRepository,48,185,4,12,15,50,4,11,0,7
